1,abaca.png,Abaca,Abaka,"Abaca is a natural leaf fiber that comes from a relative of the banana tree family native to the Philippines that grows throughout tropical regions. It is also called Manilla hemp, though it is not related to actual hemp. Abaca is generally considered to be a sustainable, environmentally friendly fiber that can empower communities.","The plant grows to 13–22 feet (4.0–6.7 m), and averages about 12 feet (3.7 m). ",It is recommended that planting be done using the square method with a distance of 2.5 meters by 2.5 meters or 1.5 meters by 1.5 meters for varieties that are poor producers of suckers.,It is advisable to water plants once or twice a month during summer.,"2,3,5"
58,niyog.png,Coconut,Niyog,"The coconut, or niyog, is a highly versatile tropical fruit used for its water, milk, oil, and flesh. In Filipino cuisine, coconut milk is a key ingredient in dishes like ginataang manok and laing, while the grated flesh is used in desserts like buko pie. Coconut water is a natural hydrating drink, while coconut oil is valued for its culinary uses and health benefits. Coconut is rich in healthy fats, particularly medium-chain triglycerides (MCTs), which may help improve cholesterol levels and support brain health. Every part of the coconut tree has a use, earning it the nickname ""Tree of Life.""","Coconut can thrive in a wide range of soil textures (sandy to clay). However, it prefers fertile and well-drained soils with a minimum depth of 75 cm and with high water- holding capacity. The palm tolerates soil pH from 5.0 to 8.0.","A spacing of 7.5 x 7.5 m is generally recommended for Coconut. Spacing depends upon the planting system, soil type etc. in all soil types.",An adult coconut tree needs 50 liters of water per day and a coconut plant needs between 10 or 15 liters of water per day. This method is suitable for coconut seedlings during the dry season in the dry and intermediate zone.,"2,5"
59,okra.png,Okra,Okra,"Okra is a green, elongated vegetable commonly used in soups, stews, and stir-fries. It has a slimy texture when cooked, which makes it a popular ingredient for thickening dishes like gumbo. In Filipino cuisine, okra is often boiled and served as a side dish or added to soups like bulalo. Okra is rich in dietary fiber, vitamins C and K, and antioxidants, making it a nutritious addition to the diet. It is known for its potential to lower blood sugar levels and improve digestive health.",Okra should be planted in rows 3 to 6 feet apart with 9 to 12 inches between seeds in the row at a depth of ¾ inch deep. Many gardeners plant multiple seeds per hole to ensure a good stand and will go back and thin out extra okra seedlings so that only one plant remains.,Okra should be planted in rows 3 to 6 feet apart with 9 to 12 inches between seeds in the row at a depth of ¾ inch deep. Many gardeners plant multiple seeds per hole to ensure a good stand and will go back and thin out extra okra seedlings so that only one plant remains.,"Okra can tolerate dry conditions; however, watering may be necessary during extended dry periods. Moisture is especially important during flowering and pod development. During prolonged dry periods, a deep soaking once every seven to 10 days with 1 to 1.5 inches of water should be adequate.",5
60,pakwan.png,Watermelon,Pakwan,"Watermelon, or pakwan, is a large, juicy fruit with sweet, red flesh and black seeds. It is commonly enjoyed as a refreshing snack or dessert in the Philippines, particularly during hot summer months. Watermelon is high in water content, making it hydrating and perfect for quenching thirst. It is also rich in vitamins A and C, along with antioxidants like lycopene, which support skin health and reduce inflammation. Watermelon is often eaten fresh, made into juices, or used as a base for fruit salads, offering both refreshment and health benefits.",The planting depth for watermelons should be about 1 inch (2.5 cm). Farmers looking for a head start might consider growing watermelons from transplants.,Watermelons need a lot of room. Plant them in rows 6 to 8 feet apart. Transplants or seed in 6 foot row spacing should be 4 feet apart and 3 feet apart in 8 foot row spacing. A rule of thumb is to allow 24 square feet per plant.,"Typically, watermelon plants need 1-2 inches of water per week so that the soil stays moist but not wet. If you're not getting enough rain each week, make sure you give your plants an extra drink.","3,5"
61,paminta.png,Black Pepper,Paminta,"Black pepper, derived from dried peppercorns, is the world's most popular spice, known for its sharp, pungent flavor and aroma. It originates from the fruits of the Piper nigrum vine, native to South India. Rich in antioxidants, black pepper contains piperine, a compound that has anti-inflammatory properties and enhances the absorption of certain nutrients, such as curcumin in turmeric. Black pepper is used in virtually every savory cuisine, enhancing the flavor of meats, soups, sauces, and marinades. It also has potential health benefits, such as improving digestion, reducing oxidative stress, and supporting heart health.","Standards should be planted well before planting black pepper at a depth of 2.0-3.0 feet. The planting pits should have a depth of 1.5 feet and a radius of at least 1.5 feet from the standard. Prior to planting, the soil should be amended adequately with organic fertilizers such as compost.","Use a loamy soil high in organic matter and plant the seeds one-quarter-inch deep and three inches apart. 4. Keep the soil warm and evenly moist. Water the soil regularly, keeping the soil moist as the seeds sprout and grow leaves.","The Black pepper generally needs about a gallon of water each schedule,With the potted plants, you might want to water them deeply until you see that the water is dripping at the bottom of the pot. Then, wait for the soil to dry before watering them again.","2,3,5"
62,pandan.png,Screwpine,Pandan,Pandan (Pandanus) is an aromatic plant prized for its sweet floral fragrance and versatility. Its spiky leaves grow in fan-shaped bunches and thrive in tropical climates. Certain varieties also bear fruits that look somewhat like red-orange pinecones.,"Pandan does well in less than 4 hours of direct sunlight or 6-8 hours of indirect sunlight. Plants do best in pots with loamy soil at least 10cm deep, or in true ground. Pandan will also readily grow in clayey soil, along large waterbodies, and in heavily waterlogged areas.","Plant the Pandan Leaf at the same depth it was growing in its nursery container. If planting from a cutting, bury the base of the cutting about 2 inches (5 cm) deep in the soil. Spacing: Space plants 2 to 3 feet (0.6 to 0.9 meters) apart to allow for their mature size.","Water your plant thoroughly and ensure the soil is evenly moist. Water your plant whenever the top inch of the soil is dry to the touch, and make sure to water till some water flows through the pot's drainage holes. We recommend watering once a week or more if the weather gets hot.",3
63,papaya.png,Papaya,Papaya,"Papaya is a tropical fruit with soft, orange flesh that has a sweet, melon-like flavor. Rich in vitamins A and C, folate, and fiber, papaya is not only a delicious fruit but also a nutrient powerhouse. It is known for its digestive benefits due to an enzyme called papain, which aids in protein digestion. Papaya can be eaten fresh, blended into smoothies, or used in both sweet and savory dishes like salads and stews. Unripe papaya is often used in Filipino dishes such as tinola, where it is cooked into soups and stews.","Papaya grows well in well-drained rich sandy loam soils with a depth of 45cm or medium black soils free from water logging. Light soils with pH between 6.5-7 are very good for papaya, if they are adequately manured.","Papaya plants should be planted in full sun and at least 7 to 10 ft (2.1–3.1 m) away from other plants, buildings, and power lines. In general, planting 2 to 3 papaya plants 7 to 12 ft (2.1–3.7 m) away from each other will insure that at least one will be fruitful, and it will also facilitate fertilizing and watering.","Regular irrigation is an important aspect in papaya cultivation, which helps in growth, fruit development and high yield. Moisture stress inhibits the growth and also promotes male floral characters. In general, irrigation to grown-up plants is given once in 7-10 days in winter and 4-5 days in summer.","3,5"
64,parsnip.png,Parsnip,Parsnip,"Parsnip, known for its pale, carrot-like appearance, is a root vegetable with a sweet, earthy flavor. While not as commonly grown in the Philippines, parsnips are a nutritious addition to soups, roasts, and stews. They are rich in fiber, vitamin C, and potassium, which help support digestion and cardiovascular health. When cooked, parsnips develop a sweet flavor similar to carrots but with a nuttier, slightly spicy undertone. In colder climates, they are often roasted or pureed into soups, offering a comforting, hearty side dish during the cooler months.","Parsnips are cool season vegetables that prefer sunny locations and fertile, deep, well-drained soils. Incorporate plenty of organic matter and an all-purpose fertilizer into the area before planting. Plant seeds ¼-½ inch deep. Thin seedling parsnips to 3 inches apart in row with rows 12-18 inches apart.","Maintain a uniform and moist soil surface to ensure good plant stands. Over-seed parsnips, then thin to 3-6 inches between plants after emergence. Plant rows 12-18 inches apart.",The parsnip is not tolerant to drought or high tem- peratures. It needs steady and relatively large amounts of water for optimum growth.,5
65,patani.png,Lima bean,Patani,"The lima bean is a green or light green flat bean (Phaseolus limensis or Phaseolus lunatus; Figure 1.4). It is used only for the seed, the pods being coarse or woody. There are two varieties, a climbing or pole variety and a dwarf or bush variety, which is used in commercial canning.","Start planting your lima beans in about 1 to 1 1/2 inches of deep, warm soil. Space your rows about 2 feet apart. Within the rows, space the seeds 2 to 4 inches apart. After planting lima beans, watch for signs of germination because you will want to thin the plants to about 4 to 6 inches apart.","Start planting your lima beans in about 1 to 1 1/2 inches of deep, warm soil. Space your rows about 2 feet apart. Within the rows, space the seeds 2 to 4 inches apart. After planting lima beans, watch for signs of germination because you will want to thin the plants to about 4 to 6 inches apart.","Lima beans need moist, loose, well-drained soil with a pH of 6.5 to 6.8. If your planting area is made of heavy soil or slow-draining clay, plant lima beans in a raised bed filled with rich topsoil. The plants need 1 inch of water per week either from rain or irrigation.","2,3"
66,potato.png,Potato,Patatas,"Potatoes, or patatas, are a starchy root vegetable that is versatile in cooking. They can be boiled, mashed, fried, or roasted, and are used in a wide range of dishes from nilaga to french fries. Potatoes are rich in carbohydrates, fiber, and essential vitamins like vitamin C and B6, which promote energy production and immune health. While not native to the Philippines, potatoes are a common ingredient in many Filipino dishes. They are also a good source of potassium, which helps regulate blood pressure and support cardiovascular health.","Potatoes in the home garden are often planted too deep. The heavier the soil, the shallower the planting should be. In heavy soils a depth of 5cm (two inches) is recommended. For lighter soils about 8 cm (three inches) is deep enough.",Plant tuber seed pieces 3 to 4 inches deep. Leaving 30 to 36 inches between rows and spacing seed pieces 9 to 12 inches apart in the row will generally produce an acceptable yield of medium-sized tubers (Figure 6). Five pounds of seed potatoes should plant 40 feet of row with 12 inches between seed pieces.,"Provide 2 to 2.5 inches of water weekly, combining rain and irrigation, to support tuber bulking. Remember, consistent moisture is key to growing healthy potatoes with fewer defects. Adjust watering based on temperature and rainfall, and always keep an eye on soil moisture levels.","2,3,4,5,6"
67,patola.png,Ribbed gourd,Patola,"Ribbed gourd (Luffa acutangula), commonly known as angled luffa or ridged gourd, is a tropical vegetable that is widely cultivated for its tender fruit and medicinal properties. To ensure optimal growth, maximize yield, and improve the overall quality of ribbed gourd produce, nutrient management plays a crucial role.","The seeds are planted direct in the prepared furrows. During wet season, drill 2cm. deep and plant 2 to 3 seeds per hill on the ridges of the furrows at a distance of 2.5 m between hills to avoid water logging. One week after planting remove weak seedlings after emergence (DAE).","Dig pits of size 45 x 45 x 45 cm at spacing of 2 m in row spaced at 1.5 m. Sow three seeds in each pit. After germination, thin to 2 healthy seedlings. Instead of direct sowing, the seeds can be sown in poly bags @ 2 seeds / bag and 15 days after germination, they can be planted @ 2 seedlings per pit.","Make sure your ridge gourds receive at least 1“-1 1/2” of water a week. 3. Once the soil has warmed, ensure to retain soil moisture and an even growing temperature around the plant. Ridge gourds produces both male and female flowers.","2,3,5"
68,pechay.png,Chinese Cabbage,Pechay,"Chinese cabbage, known locally as pechay, is a leafy green vegetable often used in soups, stir-fries, and as a side dish. Its tender, mild-flavored leaves are rich in vitamins A, C, and K, along with calcium and iron. Pechay is a common ingredient in Filipino dishes like nilaga and ginisang pechay, providing both nutritional value and texture. Its delicate leaves cook quickly, making it a versatile ingredient in both traditional and modern dishes. Chinese cabbage is valued for its digestive benefits and its role in promoting overall health.","Sow Chinese cabbage seed 0.5cm deep in rows in summer. Thin seedlings to 30cm apart. Choose fertile, moist soil and keep the soil well watered as the plants grow to prevent bolting.","Plant seed shallowly, one-fourth to one-half inch deep. Plant three seeds every 12 inches for dwarf varieties, or every 18 inches for full-sized heads. Keep the soil moist during seedling emergence. After the seedlings emerge, thin to one plant every 12 to 18 inches.","Water your cabbage planting during dry spells. One inch of rainfall per week is good. If your soil is sandy, water more often than once a week. An inch of water will wet a sandy soil to a depth of 10 inches, a heavy clay soil to 6 inches.","2,3,5"
69,pear.png,Pear,Peras,"Pears, known locally as peras, are sweet, juicy fruits with a tender flesh and a grainy texture. While pears are not native to the Philippines, they are widely enjoyed as a refreshing snack or dessert. Pears are rich in dietary fiber, vitamin C, and potassium, which support heart health and digestion. They are often eaten fresh, though they can also be poached, baked, or made into jams and desserts. Their mild sweetness and juicy texture make them a versatile fruit in both savory and sweet culinary applications.",Dig a hole 60x60cm (2x2ft) and 30cm (12in) deep. Add a layer of organic matter – such as compost or well-rotted manure – to the base of the hole and dig in.,Most varieties need at least one other pear tree in the neighbourhood to get good pollination. Healthy pear trees will bear for decades. Large pears can require up to 10m spacing. This can be less depending on variety and pruning method.,"Generally, pear trees need about an inch of rainfall every seven to ten days for established trees. Another way of looking at it is water when the top eight to ten inches of soil are dry.",3
70,pineapple.png,Pineapple,Pinya,"Pineapple, or pinya in Filipino, is a tropical fruit with sweet and tart flavors, highly prized for its refreshing taste. The golden-yellow flesh is juicy and filled with vitamins C and B6, manganese, and antioxidants. Pineapple is often eaten fresh or used in juices, salads, and desserts. In the Philippines, it is also a key ingredient in pininyahang manok, a Filipino dish where pineapple is combined with chicken in a creamy sauce. Pineapple is believed to have anti-inflammatory properties and aids in digestion due to its enzyme, bromelain.","Rooting depth of pineapple ranges from 15-30cm for the largest portion of the root mass, but depth of soil should reach at least 500m",Plant in double rows either in beds or in trenches with the plants into the second rows set in the middle of the plants in the first row. The spacing between two trenches will be 90 cm. Row to row spacing in the same bed per trench will be 60 cm and plant spacing within the row is 30 cm.,"Never allow the plant to sit in water for too long, because it may result in root rot and build-up salts. It is best to water the Pineapple plant every 5 days in summer, and every 10 days in winter","3,5"
71,pipino.png,Cucumber,Pipino,"Cucumbers, known as pipino in the Philippines, are refreshing, hydrating vegetables that are low in calories but high in vitamins K and C. Their high water content makes them ideal for hydration, and they are often used in salads, sandwiches, and drinks. Cucumbers have anti-inflammatory properties and contain antioxidants that help reduce swelling and promote skin health. In Filipino cuisine, cucumbers are often served as a side salad with vinegar or pickled as atsara. They are also used as a natural remedy for skin care, particularly to soothe puffy eyes and irritated skin.","Cucumbers grow best in sunny locations and in fertile, well drained soils. Incorporate organic matter and a complete fertilizer into the area before planting. Plant 4-6 cucumber seeds directly in the garden when soils are 65°F. Seeds should be planted 1 inch deep, 12-18 inches apart, in rows 4 feet apart.","For non-trellised cucumbers, space plants 8 to 10 inches apart in rows that are 5 feet apart. If cucumbers are trellised, plant four to five seeds per foot in rows spaced 3 feet apart. When plants are 4 to 5 inches high, thin so they are 9 to 12 inches apart.","Give them full sun and plenty of space to grow, and train them on a trellis or fence. Cucumbers perform best with regular, deep watering once a week or so and with more frequency if the weather is very hot for a period of days. Inadequate or inconsistent moisture can cause oddly shaped or poor-tasting fruit.",3
72,pomelo.png,Grapefruit,Pomelo,"Grapefruit is a large citrus fruit known for its tangy, slightly bitter taste. It is packed with vitamin C, antioxidants, and fiber, which support immune function and digestive health. Grapefruit comes in several varieties, including pink, white, and ruby red, with the pink and red types containing more antioxidants like lycopene. This fruit is commonly eaten fresh, juiced, or used in salads, and it has been linked to potential weight loss benefits due to its ability to boost metabolism. However, grapefruit can interact with certain medications, so it should be consumed with caution.","Dig the planting hole twice as wide and to the same depth as the root-ball. Remove the plant from the container, gently tease the roots and cut away any circled or tangled roots. Position in hole and backfill with soil, gently firming down.","A minimum of 15 feet between trees. Harvest times: Grapefruit have the longest harvesting time of citrus trees. Most varieties can be harvested beginning in November and on into early June. Note: Unlike most other fruit, citrus does not ripen further once picked.","While minimal, grapefruit tree care is essential to maintain its overall health and production. After planting, you should water every few days for the first couple weeks. Then you can begin watering deeply once a week, except during dry periods when additional water may be needed.","3,5"
73,rambutan.png,Hairy Lychee,Rambutan,"Hairy lychee, or rambutan, is a tropical fruit closely related to lychee and longan, known for its spiky red or yellow skin and sweet, juicy flesh. Native to Southeast Asia, rambutan is rich in vitamin C, copper, and manganese, which support immune function and skin health. The fruit has a delicate flavor similar to grapes and is often eaten fresh or used in desserts and fruit salads. In Filipino cuisine, rambutan is a popular treat during its harvest season. Its unique appearance and refreshing taste make it a favorite tropical snack.","Lychee trees should be planted on at least 20 foot centers. While it is possible to grow the trees much closer in hedge rows, you will eventually encounter problems with the trees shading each other out. ","Very good trees may yield up to 170 kilos per tree and yields per hectare may be from 2 - 20 tonnes[418 ]. There are many named varieties[301 ]. Trees are usually dioecious[307 ], but most commercial cultivars behave hermaphroditically and are self-fertile[303 ]. Spacing: 30-40 ft.","Lychee needs 0.8 cups of water every 7 days when it doesn't get direct sunlight and is potted in a 5.0"" pot. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.","2,3,5"
74,repolyo.png,Cabbage,Repolyo,"Cabbage is a versatile leafy vegetable that comes in several varieties, including green, red, and Savoy. Its firm, densely packed leaves are used in many global cuisines, from Eastern European sauerkraut and stuffed cabbage to Asian stir-fries and kimchi. Cabbage is low in calories but high in fiber, vitamin C, and K. It contains glucosinolates, which are compounds thought to have protective effects against certain types of cancer. Whether eaten raw in salads, pickled, or cooked in soups and stews, cabbage provides important nutrients for heart and digestive health.",Plants. Cabbage can be grown from seed or transplants. Seeds should be planted ¼-½ inch deep and thinned to the final stand when plants have 3-4 true leaves. Plants removed at thinning can be transplanted to adjacent areas.,Seeded or transplanted cabbage should be spaced 12-18 inches between plants in the row and rows 2-3 feet apart. Cabbage grows best when temperatures do not exceed 80°F and is not seriously damaged by temperatures down to 25°F. Transplants should be planted 2-3 weeks before the last frost free date for the growing area.,Water cabbage deeply and infrequently while trying to maintain even soil moisture. About 1-2 inches of water are required per week. Use drip irrigation if possible to conserve water. Applying mulch around the plant also helps conserve soil moisture and reduces weed growth.,"1,2,4"
75,rhubarb.png,Rhubarb,Rhubarb,"Rhubarb is renowned for its sour taste and thick stalks, which are usually cooked with sugar. The stalks range in color from red to pink to pale green and have a consistency that's similar to celery. This vegetable requires cold winters to grow.","Rhubarb crowns require shallow planting (around 4 inches deep), but because plants are such heavy feeders, you should dig planting holes at least a foot deep.","Rhubarb plants reward spacing. For most situations consider 3 to 4 feet between plants within a row and keep the rows 3 to 4 feet apart. For some of the very large varieties, 5 feet between plants may be optimal.",Rhubarb is fairly drought tolerant as plants can store water in their fibrous root systems which run 12-18” below the surface. During extended periods of hot dry weather plants should be watered deeply so that the soil is damp to a minimum depth of 3-6”.,3
76,banana.png,Banana,Saging,"Bananas are long, curved fruits with smooth, yellow, and sometimes slightly green skin. The average length of a banana is about 7 to 9 inches, and it is about 2 to 3 inches in diameter. The skin of the banana is usually yellow when it is ripe, but it can also be green, red, or purple depending on the variety.","Suitable banana planting depths range from 2 to 4 inches (5 to 10 cm). To promote yields on suboptimal fields, dig deeper planting holes and fill them with crop leftovers, manure, and soil.","Banana plant spacing is mainly determined by crop variety, growing conditions, and management practices. Plant spacing typically ranges from 6.5 by 6.5 feet (2 by 2 meters) to 16.4 by 16.4 (5 by 5 meters). This translates to a density of 160 to 1010 plants per acre (400 to 2500 plants per ha).","They prefer moist soil, but not waterlogged soil, as overwatering can lead to root rot. Water the plant deeply, allowing the water to penetrate the soil, and wait until the top 2.5 cm of soil is dry before watering again. In general, you should water a banana plant once a week, but more often in hot or dry weather.",3
77,santol.png,Cotton Fruit,Santol,"Cotton fruit, also known as santol, is a round, fleshy fruit with a sweet and sour flavor. The name ""cotton fruit"" comes from the fluffy white flesh surrounding its seeds, which has a texture similar to cotton. It is often eaten fresh, dipped in salt or sugar, or used in savory dishes like sinantolan. Santol is rich in vitamin C and fiber, which can help boost the immune system and improve digestion. In traditional medicine, santol has been used for its anti-inflammatory properties, and its bark is used to treat various ailments.","It grows better in deep and organic grounds, and with rainfall distributed throughout the year, although it also tolerates long, dry periods. The distance of planting from each other is 20 to 25 feet (6.1 to 7.6 m).","Rows and hills of cotton should be spaced 75-100 cm x 30-40 cm, with two plants per hill after thinning.","To maintain its lush foliage and support growth, watering every week is recommended. As an evergreen plant, cotton fruit retains its leaves year-round, requiring consistent soil moisture to prevent leaf drop.",3
78,sayote.png,Chayote,Sayote,"Chayote, or sayote, is a green, pear-shaped vegetable with a mild flavor and a crunchy texture. Native to Central America, chayote is commonly used in Filipino cuisine, especially in dishes like tinola and stir-fries. It is low in calories but high in vitamin C, fiber, and antioxidants, making it a nutritious addition to meals. Its subtle taste allows it to blend well with other ingredients, and it can be eaten raw in salads or cooked in a variety of dishes. Chayote is also known for its potential benefits in promoting heart health and aiding digestion.","Set a whole chayote fruit about 4 to 6 inches (10-15cm)deep, fat end down, and at an angle so that the stem end is just level with the soil surface. Sow seeds or fruits 10 feet apart. Chayote is a vigorous climber; set a sturdy trellis or support in place at planting.",The entire fruit is planted in the spring after all danger of frost. The plants should be spaced at least 8 to 10 feet apart. The vine should be trellised to provide support for maximum production. Heavy fertilization should be avoided or excessive vine growth will reduce yields.,"Chayote can be susceptible to rot if grown in overly moist conditions. When planting your squash, water the soil well and then don't water again until your sprout emerges. Throughout the growing season, water your chayote deeply only once, every 10 to 14 days.","2,3,6"
79,sibuyas.png,Onion,Sibuyas,"Onions are a fundamental ingredient in many dishes, known for their sharp, pungent flavor when raw and sweet, savory taste when cooked. They come in several varieties, including red, yellow, and white onions, each with its own unique flavor profile. Onions are packed with vitamins C and B6, as well as antioxidants like quercetin, which may help reduce inflammation and lower the risk of heart disease. In Filipino cuisine, onions are used in a wide range of dishes, from adobo to sinigang, adding depth of flavor to soups, stews, and stir-fries.","Onion varieties are available when purchasing plants. Select healthy green transplants and plant them 1 to 1 1/2 inches deep in rows 12 to 15 inches apart. To produce large, dry onions, place the plants 2 to 3 inches apart. Plant them as soon as the ground can be worked in spring.","Plant seeds in rows 12 to 15 inches apart. Cover the seeds with 1/2 to 3/4 inch of soil. When the seedlings are 2 to 4 inches tall, thin the planting. For large, dry onions, plants should be spaced 2 to 3 inches apart after thinning.","You will want to water occasionally but thoroughly, applying about one inch of water each time. We recommend using the “knuckle rule” to tell when it's time to water. Stick your finger into the ground near the plants; if you can't feel moisture up to your first knuckle, it's time to water.","2,3,4"
80,sigarilyas.png,Winged Bean,Sigarilyas,"Winged bean, or sigarilyas, is a tropical legume prized for its edible pods, seeds, leaves, and tubers. The four-angled pods have a crunchy texture and are commonly used in Southeast Asian cuisine, often in stir-fries, soups, or salads. Winged beans are a rich source of protein, fiber, and vitamins A and C, making them a nutritious addition to the diet. In the Philippines, sigarilyas is a popular ingredient in dishes like ginataang sigarilyas, where it is cooked in coconut milk with spices. Every part of the plant is edible, making it highly versatile and sustainable.","Plant seeds 2-2.5 cm (1 in) deep, 7-8 cm (3 in) apart in rows 30-40 cm (12-15 in) apart, in a sunny location, after danger of frost is past. Winged Bean is a vigorous vine; use a trellis support for improved leaf and pod yields.","Plant seeds 2-2.5 cm (1 in) deep, 7-8 cm (3 in) apart in rows 30-40 cm (12-15 in) apart, in a sunny location, after danger of frost is past. Winged Bean is a vigorous vine; use a trellis support for improved leaf and pod yields.",Winged bean plants may need watering during the growing season. Water when the soil is dry about 5cm below the surface (test this by scratching away a little soil with your finger). Water deeply in the early morning or late afternoon. Avoid watering the leaves of plants to avoid fungal diseases.,"3,5"
81,sili.png,Chili,Sili,"Chili peppers come in a wide variety of shapes, sizes, and heat levels, adding spice and flavor to countless dishes worldwide. In Filipino cuisine, varieties like siling labuyo and siling haba are used to give dishes a fiery kick. Chili peppers are rich in capsaicin, the compound responsible for their heat, which has been shown to have anti-inflammatory and pain-relieving properties. Capsaicin also boosts metabolism, making chili peppers a popular ingredient in weight loss diets. Chilis can be used fresh, dried, or powdered in dishes like stews, sauces, or condiments like sambal.",Sow seeds 5mm deep. Keep soil moist but never wet or dry. Seeds should germinate in around 7-21 days at a soil temperature of 22-35°C. Transplant seedlings to the garden once they have their first true leaves and are large enough to handle (usually 5-10cm tall).,"Space chilli plants 38–45cm (15–18in) apart, depending on the variety. Dwarf varieties can be spaced 30cm (1ft) apart. Then cover young plants with cloches to provide wind protection, preferably until the end of June.","Chillies are nearly always thirsty, so water them once or twice every day as long as the soil is dry. Keep them in well-draining pots, as leaving them to sit in too much water could make them rot, ruining your hard work.","3,5"
82,singkamas.png,Jicama,Singkamas,"Jicama, known as singkamas, is a crunchy root vegetable with a slightly sweet and nutty flavor. It is commonly eaten raw, often sprinkled with salt or chili powder, or added to salads and slaws for extra crunch. Jicama is low in calories and high in fiber, making it a healthy snack that promotes digestive health. It is also a good source of vitamin C, which boosts immunity. In Filipino cuisine, singkamas is a popular street food, often sold peeled and ready to eat. Its refreshing taste makes it ideal for hot climates.","Planting Depth: Sow seed 5 cm deep. Spacing: Space plants 20 - 25 cm apart in rows 60 - 90 cm apart. Position: Full sun. Soil Type: Jicama prefers a rich, moist, sandy loam soil with good drainage that is high in potassium.",Plants should be spaced 15-30 cm (6-12 in) apart in rows 60-100 cm (2-3 ft) apart; use lower densities for hill planting and intercropping. Jicama is a vining bean; staked or trellised plants will be more productive than those that are unsupported.,"While it does not tolerate soggy soil, jicama requires consistent watering. The soil should never dry out. Water the plant at the soil line rather than on the leaves. Ensure your jicama plants receive at least 2 inches of water per week to mature and produce healthy tubers.",5
83,spinach.png,Spinach,Spinach,"Spinach is a leafy green vegetable known for its mild flavor and high nutritional value. It is rich in iron, calcium, and vitamins A, C, and K. Spinach is often eaten raw in salads or cooked in a variety of dishes, such as sautéed spinach or as an ingredient in soups and stews. In the Philippines, spinach can be added to dishes like monggo or bulanglang. Its versatility, ease of cooking, and health benefits make it a popular vegetable in many cuisines around the world. Spinach is known for promoting bone health, improving vision, and supporting the immune system.","Sow the seeds ½ inch deep two inches apart, in rows 12 to 18 inches apart. If you are following intensive gardening plans, such as Mel Bartholomew's square foot gardening, plant 9 seeds per square foot. Make sure the soil is moist.",Seeded or transplanted spinach should be spaced 3 inches between plants in the row with rows 12 inches apart. Dense plantings will reduce weed pressure. Spinach grows best when temperatures do not exceed 75°F.,"Water spinach frequently to keep the soil evenly moist but not soggy. Regular watering is essential in warm weather to prevent bolting. In general, spinach needs around 1 to 1 1/2 inches of water per week. Rather than a weekly deep watering, it's better to water several times a week.","1,2,3,4,6"
84,strawberry.png,Strawberry,Strawberry,"Strawberries are a popular fruit in cooler regions of the Philippines, particularly in places like Baguio, where the climate is suitable for their growth. Known for their bright red color, sweet flavor, and slightly tart aftertaste, strawberries are often eaten fresh or used in desserts, smoothies, and jams. Strawberries are packed with antioxidants, vitamin C, and manganese, contributing to heart health, improved skin, and strengthened immunity. Though not native to the Philippines, they have become a symbol of Baguio's local produce, especially during the annual Panagbenga Festival.","Strawberries only need about 4-6 inches of soil for their roots so shallow containers will work. Whatever size or shape container you use, make sure they have adequate drainage holes in the bottom. Water your strawberry plants whenever the soil is dry to ½ inch depth.","The strawberry plants should be set 45 cm to 75 cm (18 inches to 30 inches) apart, in rows 90 cm to 120 cm (3 feet to4 feet) apart.","Strawberry plants require around 1 inch of water per week during establishment and 1 to 2 inches per week in production years. Of course, these numbers will change somewhat depending on the soil type, as sandier soil does not retain water as much as heavier soils.","3,5"
85,tambis.png,Rose apple,Tambis,"The rose apple is an egg-shaped tropical fruit that's pale yellow with a touch of pink when ripe. The rose apple has different varieties with different colors, like dark red, purple, and white. Before the fruits grow, sweetly scented tree flowers grow in clusters.",Dig a hole twice as wide and as deep as the root ball of your sapling. Amend the soil with organic compost to improve nutrient content and drainage. Dig the hole approximately twice as wide and as deep as the root ball of the sapling.,"Fruiting can be expected within 4 years. Planting: Prior to planting, the field is properly cleared and ploughed. Pits of 1 x 1 x 1 m size are dug at the distance of 5 to 6 m both ways.","For optimal health, watery rose apple requires watering once every 2-3 weeks, aligning with its ability to retain water efficiently. As an evergreen plant commonly grown outdoors, watery rose apple benefits from consistent soil moisture levels to support its year-round foliage.",3
86,wheat.png,Wheat,Trigo,"Wheat is a staple cereal grain used globally, and although not widely grown in the Philippines, it is a key ingredient in many Filipino food products like bread, noodles, and pastries. Wheat is a good source of carbohydrates, fiber, and essential nutrients such as B vitamins and iron, which help maintain energy levels and support digestion. Wheat flour is used in making pandesal, a popular Filipino bread roll, as well as cakes, pastries, and various baked goods. Whole wheat products are also recognized for their benefits in promoting heart health and reducing the risk of chronic diseases.","How deep do I drill wheat, barley and oats down to find moisture? Under most conditions, the optimum seeding depth for small grains is 1.5 to 2 inches. Aim to place the seed in a zone with ample moisture, but shallow enough so the crop can quickly emerge.",Spring wheat can be planted while the soil is still cool. Broadcast seed into cultivated soil so that the seeds are about 3 inches (7 cm) apart and one-half inch (1 cm) deep. No thinning is required. Increase spacing to 8 inches (20cm) apart when growing wheat with other cover crops.,"Wheat needs the most water during the flowering stage, an average of 0.19 inches (0.5 cm) per day. The soil needs to be kept damp enough before blooming begins so that the crop can thrive through the flowering stage and the early grain stage.",6
